code,name,category,permitted_GB,permitted_NI,permitted_EU,status_notes,child_warning,PKU_warning,polyols_warning,sulphites_allergen_label,origin,overview,typical_uses,effects_summary,effects_verdict,synonyms,matches,ins_number,sources
FATTY11,Lauric Acid,fatty acid,TRUE,TRUE,TRUE,Saturated,FALSE,FALSE,FALSE,FALSE,coconut/palm,C12:0 medium chain.,"Coconut oil, MCT oil.",Antimicrobial; quick energy.,positive,C12:0,lauric acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY12,Capric Acid,fatty acid,TRUE,TRUE,TRUE,MCT,FALSE,FALSE,FALSE,FALSE,coconut/palm,C10:0 medium chain.,"MCT oil.",Quick energy source.,positive,Decanoic acid; C10:0,capric acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY13,Caprylic Acid,fatty acid,TRUE,TRUE,TRUE,MCT,FALSE,FALSE,FALSE,FALSE,coconut/palm,C8:0 medium chain.,"MCT oil, supplements.",Ketone production.,positive,Octanoic acid; C8:0,caprylic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY14,Caproic Acid,fatty acid,TRUE,TRUE,TRUE,Short chain,FALSE,FALSE,FALSE,FALSE,dairy,C6:0 short chain.,"Goat cheese flavor.",Strong smell.,neutral,Hexanoic acid; C6:0,caproic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY15,Butyric Acid,fatty acid,TRUE,TRUE,TRUE,Short chain,FALSE,FALSE,FALSE,FALSE,dairy/fermentation,C4:0 gut health.,"Butter flavor.",Gut health benefits.,positive,Butanoic acid; C4:0,butyric acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY16,Propionic Acid,fatty acid,TRUE,TRUE,TRUE,Short chain,FALSE,FALSE,FALSE,FALSE,fermentation,C3:0 preservative.,"Bread preservative.",Mold inhibitor.,positive,Propanoic acid; E280,propionic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY17,Acetic Acid,fatty acid,TRUE,TRUE,TRUE,Short chain,FALSE,FALSE,FALSE,FALSE,fermentation,C2:0 vinegar.,"Vinegar, preservative.",Natural preservative.,positive,Ethanoic acid; E260,acetic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY18,Palmitoleic Acid,fatty acid,TRUE,TRUE,TRUE,Omega-7,FALSE,FALSE,FALSE,FALSE,macadamia/fish,C16:1 monounsaturated.,"Macadamia oil.",Skin health claims.,positive,Omega-7,palmitoleic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY19,Erucic Acid,fatty acid,TRUE,TRUE,TRUE,Limited,FALSE,FALSE,FALSE,FALSE,rapeseed,C22:1 restricted levels.,"Old rapeseed varieties.",Heart concerns; restricted.,negative,C22:1,erucic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY20,Ricinoleic Acid,fatty acid,TRUE,TRUE,TRUE,Castor oil,FALSE,FALSE,FALSE,FALSE,castor,Hydroxylated fatty acid.,"Castor oil, cosmetics.",Laxative effect.,neutral,12-Hydroxyoleic acid,ricinoleic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY21,Vaccenic Acid,fatty acid,TRUE,TRUE,TRUE,Trans fat,FALSE,FALSE,FALSE,FALSE,ruminant,Natural trans fat.,"Dairy, beef.",Natural trans; less harmful.,neutral,Trans-11 C18:1,vaccenic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY22,Elaidic Acid,fatty acid,FALSE,FALSE,FALSE,Industrial trans,FALSE,FALSE,FALSE,FALSE,hydrogenation,Industrial trans fat.,"Banned/restricted.",Harmful trans fat.,negative,Trans-9 C18:1,elaidic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY23,Nervonic Acid,fatty acid,TRUE,TRUE,TRUE,Brain lipid,FALSE,FALSE,FALSE,FALSE,plant/animal,C24:1 brain fatty acid.,"Specialized supplements.",Myelin component.,positive,Selacholeic acid,nervonic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY24,Behenic Acid,fatty acid,TRUE,TRUE,TRUE,Long chain,FALSE,FALSE,FALSE,FALSE,plant,C22:0 saturated.,"Cosmetics, lubricants.",Limited absorption.,neutral,Docosanoic acid,behenic acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
FATTY25,Lignoceric Acid,fatty acid,TRUE,TRUE,TRUE,Very long chain,FALSE,FALSE,FALSE,FALSE,plant,C24:0 saturated.,"Peanut oil.",Limited absorption.,neutral,Tetracosanoic acid,lignoceric acid,,"[{""title"": ""Fatty Acids"", ""url"": ""https://www.fda.gov""}]"
ENZ001,Alpha-Amylase,enzyme,TRUE,TRUE,TRUE,Starch enzyme,FALSE,FALSE,FALSE,FALSE,fungal/bacterial,Breaks 1,4-glycosidic bonds.,"Bread, brewing, syrups.",Improves texture.,positive,1,4-alpha-D-glucan glucanohydrolase,alpha amylase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ002,Beta-Amylase,enzyme,TRUE,TRUE,TRUE,Starch enzyme,FALSE,FALSE,FALSE,FALSE,plant/bacterial,Produces maltose.,"Brewing, syrups.",Creates fermentable sugars.,positive,Saccharogen amylase,beta amylase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ003,Glucoamylase,enzyme,TRUE,TRUE,TRUE,Starch enzyme,FALSE,FALSE,FALSE,FALSE,fungal,Produces glucose.,"High fructose corn syrup.",Complete starch breakdown.,positive,Amyloglucosidase,glucoamylase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ004,Pullulanase,enzyme,TRUE,TRUE,TRUE,Debranching enzyme,FALSE,FALSE,FALSE,FALSE,bacterial,Breaks 1,6-bonds.,"Starch processing.",Improves starch conversion.,positive,Limit dextrinase,pullulanase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ005,Isoamylase,enzyme,TRUE,TRUE,TRUE,Debranching enzyme,FALSE,FALSE,FALSE,FALSE,bacterial,Debranches amylopectin.,"Starch processing.",Similar to pullulanase.,positive,Glycogen 6-glucanohydrolase,isoamylase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ006,Glucose Isomerase,enzyme,TRUE,TRUE,TRUE,Isomerization,FALSE,FALSE,FALSE,FALSE,bacterial,Converts glucose to fructose.,"HFCS production.",Creates high fructose syrup.,neutral,Xylose isomerase,glucose isomerase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ007,Invertase,enzyme,TRUE,TRUE,TRUE,Sucrose enzyme,FALSE,FALSE,FALSE,FALSE,yeast,Splits sucrose.,"Candy, confectionery.",Creates invert sugar.,positive,Sucrase; Beta-fructofuranosidase,invertase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ008,Lactase,enzyme,TRUE,TRUE,TRUE,Lactose enzyme,FALSE,FALSE,FALSE,FALSE,fungal/yeast,Splits lactose.,"Lactose-free dairy.",Helps lactose intolerance.,positive,Beta-galactosidase,lactase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ009,Pectinase,enzyme,TRUE,TRUE,TRUE,Pectin enzyme,FALSE,FALSE,FALSE,FALSE,fungal,Breaks down pectin.,"Juice clarification.",Improves juice yield.,positive,Polygalacturonase,pectinase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ010,Cellulase,enzyme,TRUE,TRUE,TRUE,Cellulose enzyme,FALSE,FALSE,FALSE,FALSE,fungal,Breaks down cellulose.,"Juice extraction, brewing.",Improves extraction.,positive,Endoglucanase,cellulase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ011,Hemicellulase,enzyme,TRUE,TRUE,TRUE,Hemicellulose enzyme,FALSE,FALSE,FALSE,FALSE,fungal,Breaks down hemicellulose.,"Baking, brewing.",Improves dough/wort.,positive,Xylanase,hemicellulase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ012,Protease,enzyme,TRUE,TRUE,TRUE,Protein enzyme,FALSE,FALSE,FALSE,FALSE,various,Breaks down proteins.,"Meat tenderizer, cheese.",Creates amino acids/peptides.,neutral,Proteinase,protease,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ013,Papain,enzyme,TRUE,TRUE,TRUE,Plant protease,FALSE,FALSE,FALSE,FALSE,papaya,Papaya protease.,"Meat tenderizer.",Can cause allergies.,neutral,Papaya proteinase,papain,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ014,Bromelain,enzyme,TRUE,TRUE,TRUE,Plant protease,FALSE,FALSE,FALSE,FALSE,pineapple,Pineapple protease.,"Meat tenderizer.",Can cause allergies.,neutral,Pineapple enzyme,bromelain,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ015,Ficin,enzyme,TRUE,TRUE,TRUE,Plant protease,FALSE,FALSE,FALSE,FALSE,fig,Fig protease.,"Meat tenderizer.",Less common.,neutral,Fig protease,ficin,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ016,Trypsin,enzyme,TRUE,TRUE,TRUE,Pancreatic enzyme,FALSE,FALSE,FALSE,FALSE,animal,Digestive protease.,"Protein hydrolysis.",From pancreas.,neutral,Pancreatic trypsin,trypsin,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ017,Chymotrypsin,enzyme,TRUE,TRUE,TRUE,Pancreatic enzyme,FALSE,FALSE,FALSE,FALSE,animal,Digestive protease.,"Protein hydrolysis.",From pancreas.,neutral,Chymotrypsin A,chymotrypsin,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ018,Pepsin,enzyme,TRUE,TRUE,TRUE,Stomach enzyme,FALSE,FALSE,FALSE,FALSE,animal,Stomach protease.,"Protein hydrolysis.",From stomach lining.,neutral,Gastric protease,pepsin,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ019,Rennet,enzyme,TRUE,TRUE,TRUE,Milk coagulant,FALSE,FALSE,FALSE,FALSE,animal/microbial,Cheese making enzyme.,"Cheese production.",May be animal or microbial.,neutral,Chymosin; Rennin,rennet,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ020,Lipase,enzyme,TRUE,TRUE,TRUE,Fat enzyme,FALSE,FALSE,FALSE,FALSE,various,Breaks down fats.,"Cheese, flavor development.",Creates fatty acids.,neutral,Triacylglycerol lipase,lipase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ021,Phospholipase,enzyme,TRUE,TRUE,TRUE,Phospholipid enzyme,FALSE,FALSE,FALSE,FALSE,various,Modifies phospholipids.,"Egg yolk, oil processing.",Improves emulsification.,positive,Lecithinase,phospholipase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ022,Glucose Oxidase,enzyme,TRUE,TRUE,TRUE,Oxidizing enzyme,FALSE,FALSE,FALSE,FALSE,fungal,Oxidizes glucose.,"Egg processing, baking.",Removes glucose/oxygen.,positive,GOD,glucose oxidase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ023,Catalase,enzyme,TRUE,TRUE,TRUE,Peroxide enzyme,FALSE,FALSE,FALSE,FALSE,microbial,Breaks down H2O2.,"Milk, cheese processing.",Removes peroxide.,positive,Hydrogen-peroxide oxidoreductase,catalase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ024,Peroxidase,enzyme,TRUE,TRUE,TRUE,Oxidizing enzyme,FALSE,FALSE,FALSE,FALSE,plant,Uses peroxide.,"Flavor development.",Creates flavors.,neutral,Donor:hydrogen-peroxide oxidoreductase,peroxidase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ025,Laccase,enzyme,TRUE,TRUE,TRUE,Oxidizing enzyme,FALSE,FALSE,FALSE,FALSE,fungal,Oxidizes phenols.,"Juice, wine clarification.",Removes phenolics.,positive,Benzenediol:oxygen oxidoreductase,laccase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ026,Tyrosinase,enzyme,TRUE,TRUE,TRUE,Browning enzyme,FALSE,FALSE,FALSE,FALSE,various,Creates melanin.,"Browning reactions.",Can cause browning.,neutral,Polyphenol oxidase,tyrosinase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ027,Transglutaminase,enzyme,TRUE,TRUE,TRUE,Crosslinking enzyme,FALSE,FALSE,FALSE,FALSE,microbial,Meat glue.,"Meat products, surimi.",Binds proteins.,neutral,TGase; Meat glue,transglutaminase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ028,Lysozyme,enzyme,TRUE,TRUE,TRUE,Antimicrobial enzyme,FALSE,FALSE,FALSE,FALSE,egg,Breaks bacterial walls.,"Cheese, wine preservation.",From egg white.,neutral,Muramidase; E1105,lysozyme,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ029,Phytase,enzyme,TRUE,TRUE,TRUE,Phosphatase,FALSE,FALSE,FALSE,FALSE,microbial,Releases phosphate.,"Animal feed, bread.",Improves mineral availability.,positive,Myo-inositol hexakisphosphate phosphohydrolase,phytase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
ENZ030,Asparaginase,enzyme,TRUE,TRUE,TRUE,Acrylamide reduction,FALSE,FALSE,FALSE,FALSE,microbial,Breaks down asparagine.,"Potato products, coffee.",Reduces acrylamide formation.,positive,L-asparagine amidohydrolase,asparaginase,,"[{""title"": ""Enzymes"", ""url"": ""https://www.fda.gov""}]"
POLY001,Sorbitol,polyol sweetener,TRUE,TRUE,TRUE,Sugar alcohol,FALSE,FALSE,TRUE,FALSE,synthetic,70% sweet as sugar.,"Sugar-free products.",Laxative effect warning required.,neutral,D-Glucitol; E420,sorbitol,,"[{""title"": ""Polyols"", ""url"": ""https://www.fda.gov""}]"
POLY002,Mannitol,polyol sweetener,TRUE,TRUE,TRUE,Sugar alcohol,FALSE,FALSE,TRUE,FALSE,synthetic,60% sweet as sugar.,"Sugar-free gum.",Laxative effect warning required.,neutral,D-Mannitol; E421,mannitol,,"[{""title"": ""Polyols"", ""url"": ""https://www.fda.gov""}]"
POLY003,Xylitol,polyol sweetener,TRUE,TRUE,TRUE,Sugar alcohol,FALSE,FALSE,TRUE,FALSE,birch/corn,Same sweetness as sugar.,"Sugar-free gum, candy.",Toxic to dogs; dental benefits.,positive,Wood sugar; E967,xylitol,,"[{""title"": ""Polyols"", ""url"": ""https://www.fda.gov""}]"
POLY004,Erythritol,polyol sweetener,TRUE,TRUE,TRUE,Sugar alcohol,FALSE,FALSE,TRUE,FALSE,fermentation,70% sweet as sugar.,"Sugar-free products.",Minimal laxative effect.,positive,E968,erythritol,,"[{""title"": ""Polyols"", ""url"": ""https://www.fda.gov""}]"
POLY005,Maltitol,polyol sweetener,TRUE,TRUE,TRUE,Sugar alcohol,FALSE,FALSE,TRUE,FALSE,synthetic,90% sweet as sugar.,"Sugar-free chocolate.",Laxative effect warning required.,neutral,E965,maltitol,,"[{""title"": ""Polyols"", ""url"": ""https://www.fda.gov""}]"
POLY006,Lactitol,polyol sweetener,TRUE,TRUE,TRUE,Sugar alcohol,FALSE,FALSE,TRUE,FALSE,synthetic,40% sweet as sugar.,"Sugar-free products.",Laxative effect warning required.,neutral,E966,lactitol,,"[{""title"": ""Polyols"", ""url"": ""https://www.fda.gov""}]"
POLY007,Isomalt,polyol sweetener,TRUE,TRUE,TRUE,Sugar alcohol,FALSE,FALSE,TRUE,FALSE,synthetic,50% sweet as sugar.,"Sugar-free candy.",Laxative effect warning required.,neutral,Palatinit; E953,isomalt,,"[{""title"": ""Polyols"", ""url"": ""https://www.fda.gov""}]"
POLY008,Polyglycitol Syrup,polyol sweetener,TRUE,TRUE,TRUE,Hydrogenated starch,FALSE,FALSE,TRUE,FALSE,synthetic,Maltitol syrup variant.,"Sugar-free products.",Laxative effect warning required.,neutral,Lycasin; E964,polyglycitol syrup,,"[{""title"": ""Polyols"", ""url"": ""https://www.fda.gov""}]"
POLY009,Arabitol,polyol sweetener,TRUE,TRUE,TRUE,Sugar alcohol,FALSE,FALSE,TRUE,FALSE,synthetic,70% sweet as sugar.,"Rare in foods.",Less common polyol.,neutral,Arabinitol,arabitol,,"[{""title"": ""Polyols"", ""url"": ""https://www.fda.gov""}]"
POLY010,Ribitol,polyol sweetener,FALSE,FALSE,FALSE,Not approved,FALSE,FALSE,TRUE,FALSE,synthetic,Ribose alcohol.,"Not in foods.",Not approved for food use.,negative,Adonitol,ribitol,,"[{""title"": ""Polyols"", ""url"": ""https://www.fda.gov""}]"
BUFF001,Sodium Bicarbonate,buffer/leavening,TRUE,TRUE,TRUE,Baking soda,FALSE,FALSE,FALSE,FALSE,mineral,Alkaline buffer.,"Baking, antacid.",Natural and safe.,positive,Baking soda; E500,sodium bicarbonate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF002,Sodium Carbonate,buffer/alkali,TRUE,TRUE,TRUE,Washing soda,FALSE,FALSE,FALSE,FALSE,mineral,Strong alkali.,"Noodles, pretzels.",More alkaline than bicarbonate.,neutral,Soda ash; E500,sodium carbonate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF003,Potassium Bicarbonate,buffer/leavening,TRUE,TRUE,TRUE,Low sodium,FALSE,FALSE,FALSE,FALSE,mineral,Sodium-free leavening.,"Low-sodium baking.",Alternative to sodium bicarbonate.,positive,E501,potassium bicarbonate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF004,Potassium Carbonate,buffer/alkali,TRUE,TRUE,TRUE,Potash,FALSE,FALSE,FALSE,FALSE,mineral,Strong alkali.,"Cocoa, noodles.",Dutch process cocoa.,positive,Pearl ash; E501,potassium carbonate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF005,Ammonium Bicarbonate,buffer/leavening,TRUE,TRUE,TRUE,Baker's ammonia,FALSE,FALSE,FALSE,FALSE,synthetic,Volatile leavening.,"Cookies, crackers.",Evaporates completely.,positive,E503,ammonium bicarbonate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF006,Ammonium Carbonate,buffer/leavening,TRUE,TRUE,TRUE,Hartshorn,FALSE,FALSE,FALSE,FALSE,synthetic,Traditional leavening.,"Flat breads, cookies.",Ammonia smell during baking.,neutral,E503,ammonium carbonate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF007,Calcium Hydroxide,buffer/firming,TRUE,TRUE,TRUE,Slaked lime,FALSE,FALSE,FALSE,FALSE,mineral,Strong alkali.,"Corn tortillas, pickles.",Traditional nixtamalization.,positive,Pickling lime; E526,calcium hydroxide,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF008,Sodium Hydroxide,buffer/alkali,TRUE,TRUE,TRUE,Lye,FALSE,FALSE,FALSE,FALSE,mineral,Caustic soda.,"Pretzels, olives, cocoa.",Very caustic; neutralized in processing.,neutral,Caustic soda; E524,sodium hydroxide,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF009,Potassium Hydroxide,buffer/alkali,TRUE,TRUE,TRUE,Caustic potash,FALSE,FALSE,FALSE,FALSE,mineral,Strong alkali.,"Cocoa, soft drinks.",Similar to sodium hydroxide.,neutral,E525,potassium hydroxide,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF010,Magnesium Hydroxide,buffer/antacid,TRUE,TRUE,TRUE,Milk of magnesia,FALSE,FALSE,FALSE,FALSE,mineral,Antacid buffer.,"Canned vegetables.",Laxative in large amounts.,neutral,E528,magnesium hydroxide,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF011,Disodium Phosphate,buffer,TRUE,TRUE,TRUE,DSP,FALSE,FALSE,FALSE,FALSE,synthetic,Phosphate buffer.,"Processed cheese, cereals.",Affects calcium absorption.,negative,E339,disodium phosphate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF012,Trisodium Phosphate,buffer/cleaner,TRUE,TRUE,TRUE,TSP,FALSE,FALSE,FALSE,FALSE,synthetic,Strong alkaline buffer.,"Cereals, cheese.",High sodium and phosphate.,negative,E339,trisodium phosphate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF013,Dipotassium Phosphate,buffer,TRUE,TRUE,TRUE,DKP,FALSE,FALSE,FALSE,FALSE,synthetic,Phosphate buffer.,"Coffee creamer, cheese.",Affects calcium absorption.,negative,E340,dipotassium phosphate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF014,Sodium Citrate,buffer,TRUE,TRUE,TRUE,Trisodium citrate,FALSE,FALSE,FALSE,FALSE,synthetic,Citrate buffer.,"Beverages, cheese.",Generally safe.,positive,E331,sodium citrate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF015,Potassium Citrate,buffer,TRUE,TRUE,TRUE,Tripotassium citrate,FALSE,FALSE,FALSE,FALSE,synthetic,Citrate buffer.,"Beverages, low-sodium products.",Generally safe.,positive,E332,potassium citrate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF016,Calcium Citrate,buffer/calcium source,TRUE,TRUE,TRUE,Tricalcium citrate,FALSE,FALSE,FALSE,FALSE,synthetic,Citrate buffer.,"Beverages, supplements.",Well-absorbed calcium.,positive,E333,calcium citrate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF017,Sodium Acetate,buffer/preservative,TRUE,TRUE,TRUE,Sodium salt of vinegar,FALSE,FALSE,FALSE,FALSE,synthetic,Acetate buffer.,"Seasonings, snacks.",Generally safe.,positive,E262,sodium acetate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF018,Potassium Acetate,buffer/preservative,TRUE,TRUE,TRUE,Potassium salt of vinegar,FALSE,FALSE,FALSE,FALSE,synthetic,Acetate buffer.,"Low-sodium products.",Generally safe.,positive,E261,potassium acetate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF019,Calcium Acetate,buffer/preservative,TRUE,TRUE,TRUE,Calcium salt of vinegar,FALSE,FALSE,FALSE,FALSE,synthetic,Acetate buffer.,"Baked goods.",Calcium source.,positive,E263,calcium acetate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
BUFF020,Sodium Lactate,buffer/humectant,TRUE,TRUE,TRUE,Sodium salt of lactic acid,FALSE,FALSE,FALSE,FALSE,fermentation,Lactate buffer.,"Meat products.",Antimicrobial properties.,positive,E325,sodium lactate,,"[{""title"": ""Buffers"", ""url"": ""https://www.fda.gov""}]"
SEQ001,EDTA,sequestrant,TRUE,TRUE,TRUE,Chelating agent,FALSE,FALSE,FALSE,FALSE,synthetic,Binds metal ions.,"Mayonnaise, dressings.",Can affect mineral absorption.,neutral,Ethylenediaminetetraacetic acid; E385,edta,,"[{""title"": ""Sequestrants"", ""url"": ""https://www.fda.gov""}]"
SEQ002,Citric Acid,sequestrant/acidulant,TRUE,TRUE,TRUE,Natural chelator,FALSE,FALSE,FALSE,FALSE,fermentation,Binds metals.,"Most processed foods.",Natural and safe.,positive,E330,citric acid,,"[{""title"": ""Sequestrants"", ""url"": ""https://www.fda.gov""}]"
SEQ003,Tartaric Acid,sequestrant/acidulant,TRUE,TRUE,TRUE,Wine acid,FALSE,FALSE,FALSE,FALSE,grapes,Binds metals.,"Wine, baking powder.",Natural from grapes.,positive,E334,tartaric acid,,"[{""title"": ""Sequestrants"", ""url"": ""https://www.fda.gov""}]"
