additives_plus_carbs_with_sources_2025_f3ffdfc3
code,name,category,permitted_GB,permitted_NI,permitted_EU,status_notes,child_warning,PKU_warning,polyols_warning,sulphites_allergen_label,origin,overview,typical_uses,effects_summary,effects_verdict,synonyms,matches,ins_number,sources
E127,Erythrosine,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Erythrosine used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,Erythrosine; FD&C Red 3,127; erythrosine,127,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E129,Allura Red AC,colour,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,synthetic (man‑made),Allura Red AC is an artificial azo dye for vivid colours.,"Confectionery, beverages, desserts, bakery icings.",Label must state it may affect activity and attention in children.,caution,Allura Red AC; Red 40; FD&C Red 40,129; allura red ac,129,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}, {""title"": ""Gov.uk: Required warning statements"", ""url"": ""https://www.gov.uk/food-labelling-and-packaging/food-and-drink-warnings"", ""covers"": ""Wording for azo colours, aspartame, caffeine""}]"
E131,Patent Blue V,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Patent Blue V used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,131; patent blue v,131,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E132,Indigotine; Indigo Carmine,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Indigotine; Indigo Carmine used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,Indigotine; FD&C Blue 2; Blue 2,132; indigo carmine; indigotine; indigotine; indigo carmine,132,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E133,Brilliant Blue FCF,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Brilliant Blue FCF used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,Brilliant Blue FCF; FD&C Blue 1; Blue 1,133; brilliant blue fcf,133,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E140,Chlorophylls and chlorophyllins,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Chlorophylls and chlorophyllins used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,140; chlorophylls and chlorophyllins,140,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E141,Copper complexes of chlorophylls and chlorophyllins,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Copper complexes of chlorophylls and chlorophyllins used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,141; copper complexes of chlorophylls and chlorophyllins,141,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E142,Green S,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Green S used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,142; green s,142,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E150a,Plain caramel,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Plain caramel used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,150a; plain caramel,150a,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E150b,Caustic sulphite caramel,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Caustic sulphite caramel used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,150b; caustic sulphite caramel,150b,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E150c,Ammonia caramel,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Ammonia caramel used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,150c; ammonia caramel,150c,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E150d,Sulphite ammonia caramel,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Sulphite ammonia caramel used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,Caramel color IV; Sulphite ammonia caramel,150d; sulphite ammonia caramel,150d,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E151,Brilliant Black BN; Black PN,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Brilliant Black BN; Black PN used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,151; black pn; brilliant black bn; brilliant black bn; black pn,151,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E153,Vegetable carbon,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Vegetable carbon used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,153; vegetable carbon,153,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E155,Brown HT,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Brown HT used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,155; brown ht,155,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E160a,Carotenes,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Carotenes used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,160a; carotenes,160a,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E160b(i),"Annatto, bixin",colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),"Annatto, bixin used as a colour.","Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,"160b(i); annatto; annatto, bixin; bixin",160b,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E160b(ii),"Annatto, norbixin",colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),"Annatto, norbixin used as a colour.","Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,"160b(ii); annatto; annatto, norbixin; norbixin",160b,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E160c,Paprika extract; Capsanthin; Capsorubin,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Paprika extract; Capsanthin; Capsorubin used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,160c; capsanthin; capsorubin; paprika extract; paprika extract; capsanthin; capsorubin,160c,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E160d,Lycopene,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Lycopene used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,160d; lycopene,160d,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E160e,Beta-apo-8'-carotenal (C30),colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Beta-apo-8'-carotenal (C30) used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,160e; 8'; apo; beta; beta-apo-8'-carotenal (c30); c30; carotenal,160e,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E161b,Lutein,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Lutein used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,161b; lutein,161b,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E161g,Canthaxanthin,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Canthaxanthin used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,161g; canthaxanthin,161g,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E162,Beetroot Red; Betanin,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Beetroot Red; Betanin used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,162; beetroot red; beetroot red; betanin; betanin,162,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
