id,name,simple_role,what_it_is,why_it_is_used,common_in,child_note,who_should_take_care,headline_risk_or_benefit,region_status_short,rating,quick_advice,vegan,aka_on_labels,sources_primary,last_updated,uk_grade_weight,uk_grade_note
E122,Azorubine/Carmoisine,Colour,"Azorubine/Carmoisine is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,12,Colour: brighter synthetics carry higher weight; naturals lower.
E124,Ponceau 4R,Colour,"Ponceau 4R is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,12,Colour: brighter synthetics carry higher weight; naturals lower.
E127,Erythrosine,Colour,"Erythrosine is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,Colour: brighter synthetics carry higher weight; naturals lower.
E129,Allura Red AC,Colour,"Allura Red AC is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,12,Colour: brighter synthetics carry higher weight; naturals lower.
E131,Patent Blue V,Colour,"Patent Blue V is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,12,Colour: brighter synthetics carry higher weight; naturals lower.
E132,Indigo Carmine,Colour,"Indigo Carmine is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,12,Colour: brighter synthetics carry higher weight; naturals lower.
E133,Brilliant Blue FCF,Colour,"Brilliant Blue FCF is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,12,Colour: brighter synthetics carry higher weight; naturals lower.
E140,Chlorophylls,Colour,"Chlorophylls is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,Colour: brighter synthetics carry higher weight; naturals lower.
E141,Copper complexes of chlorophylls,Colour,"Copper complexes of chlorophylls is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,Colour: brighter synthetics carry higher weight; naturals lower.
E142,Green S,Colour,"Green S is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,12,Colour: brighter synthetics carry higher weight; naturals lower.
E150a,Caramel I (plain),Colour,"Caramel I (plain) is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,Colour: brighter synthetics carry higher weight; naturals lower.
E150b,Caramel II (sulphite),Colour,"Caramel II (sulphite) is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,Colour: brighter synthetics carry higher weight; naturals lower.
E150c,Caramel III (ammonia),Colour,"Caramel III (ammonia) is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,Colour: brighter synthetics carry higher weight; naturals lower.
E150d,Caramel IV (ammonia–sulphite),Colour,"Caramel IV (ammonia–sulphite) is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,Colour: brighter synthetics carry higher weight; naturals lower.
